StartDate,EndDate,Status,Progress,Durationinseconds,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,screening_car,screening_loc_1,screening_loc_3,tb_tt,tb_tr,tb_tr_late,tb_td,tb_type,tb_park,tb_park_0_TEXT,tb_park_0.5_TEXT,tb_freq,tb_sched,tb_sched_3_TEXT,example_choice,@1_SP_answer_block_1,@2_SP_answer_block_1,@3_SP_answer_block_1,@4_SP_answer_block_1,@5_SP_answer_block_1,@6_SP_answer_block_1,@7_SP_answer_block_1,@8_SP_answer_block_1,@9_SP_answer_block_1,@1_SP_answer_block_2,@2_SP_answer_block_2,@3_SP_answer_block_2,@4_SP_answer_block_2,@5_SP_answer_block_2,@6_SP_answer_block_2,@7_SP_answer_block_2,@8_SP_answer_block_2,@9_SP_answer_block_2,@1_SP_answer_block_3,@2_SP_answer_block_3,@3_SP_answer_block_3,@4_SP_answer_block_3,@5_SP_answer_block_3,@6_SP_answer_block_3,@7_SP_answer_block_3,@8_SP_answer_block_3,@9_SP_answer_block_3,Attitude_1_liveability,Attitude_2_equity,Attitude_3_habits,Attitude_4_feasible,Attitude_5_reliability,Attitude_6_variation,Attitude_7_punctual,Attitude_8_uncertainty,Attitude_9_expectation,Attitude_10_adapt,Attitude_11_cycle,Attitude_12_convenience,Attitude_13_confusing,Attitude_14_drive,Attitude_6R_variation,Attitude_9R_expectation,Attitude_10R_adapt,Age,Age_1_TEXT,gender,education,employment,HH_comp,HH_income,bike,PT_subs,imid,distance,vehiclerate,parkingcost,travelcost,TC_e,TT,filter_$,att_max,att_min,straightliner,FAC1_support,FAC2_uncertainty,FAC3_reliability
5/11/2026 9:37,5/11/2026 9:44,0,100,423,1,5/11/2026 9:44,,anonymous,EN,1,1015,1011,30,3,4,3.5,0.12,0.5, , ,4,1, ,1, , , , , , , , , ,2,1,2,2,1,2,1,3,3, , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,2,3,4,4,3,3,3,2, ,2,4,1,3,4,3,3,,3.5,0.12,0.5,0.92,0.92,30,1,4,2,0,-0.512958503,0.223113978,-0.718880169
5/11/2026 9:41,5/11/2026 9:45,0,100,248,1,5/11/2026 9:45,,anonymous,NL,1,1113,1098,15,2,4,6.5,0.07,0, , ,5,2, ,2, , , , , , , , , ,3,2,2,3,1,2,3,1,2, , , , , , , , , ,2,3,2,3,4,3,4,4,3,2,2,4,4,5,3,3,4,1,2001,1,2,1,1,4,2,2,,6.5,0.07,0,0.455,0.455,15,1,5,2,0,-0.410618912,0.703897467,0.093619282
5/11/2026 9:41,5/11/2026 9:52,0,100,661,1,5/11/2026 9:52,,anonymous,EN,1,1011,1011,30,5,7,19,0.09,6.25, , ,5,1, ,1, , , , , , , , , , , , , , , , , , ,2,2,1,2,2,2,2,1,2,4,3,4,4,3,3,5,4,3,2,3,3,3,5,3,3,4,1,1995,2,4,1,3,12,2,4,,19,0.09,6.25,7.96,7.96,30,1,5,2,0,0.156695984,0.888427589,-0.005393381
5/11/2026 9:53,5/11/2026 9:58,0,100,315,1,5/11/2026 9:58,,anonymous,NL,1,1102,1061,45,4,4,16.5,0.12,3.25, , ,6,1, ,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , ,1,2,2,1,5,1,5,5,1,1,1,1,5,3,5,5,5,1,1977,2,2,1,4,1,4,3,,16.5,0.12,3.25,5.23,5.23,45,1,5,1,0,-1.665935428,2.38860809,1.577971743
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
